month,group,total
2022-06,BEDAH_OK,205239253.907
2022-06,CAPITAL_EQUIP,4040000.0
2022-06,DBD,183008976.03
2022-06,DIAGNOSTIK,28055218.847
2022-06,FARMASI,89465529.009
2022-06,IMUNISASI,147754832.0
2022-06,LABORATORIUM,11330000.0
2022-06,NEONATAL,678700.0
2022-06,OPERASIONAL_RS,142714096.0
2022-06,PANDEMI_COVID,12221500.0
2022-06,PERAWATAN_LUKA,60165382.714999996
2022-06,RESPIRATORIUM,110101221.563
2022-06,SPUIT_INJEKSI,517281892.94
2022-06,STERILISASI_CSSD,5728180.0
2022-06,UROLOGI,13442468.919
2022-07,APD_HIGIENE,165641572.8
2022-07,BEDAH_OK,194770888.523
2022-07,DBD,133052580.331
2022-07,DIAGNOSTIK,122513735.136
2022-07,FARMASI,107084413.514
2022-07,IMUNISASI,2275200.0
2022-07,LABORATORIUM,28136000.0
2022-07,NEONATAL,42180000.0
2022-07,OBGYN,11163000.0
2022-07,OPERASIONAL_RS,122771383.0
2022-07,PANDEMI_COVID,40118840.544
2022-07,PERAWATAN_LUKA,68027146.487
2022-07,RESPIRATORIUM,144915689.528
2022-07,SPUIT_INJEKSI,698705438.56
2022-07,STERILISASI_CSSD,26790000.0
2022-07,UROLOGI,25804178.0
2022-08,APD_HIGIENE,569458534.278
2022-08,BEDAH_OK,230321252.093
2022-08,DBD,306895449.116
2022-08,DIAGNOSTIK,48141223.694
2022-08,FARMASI,15954440.0
2022-08,IMUNISASI,5156756.757
2022-08,LABORATORIUM,6840000.0
2022-08,NEONATAL,2200000.0
2022-08,OBGYN,5506925.405
2022-08,OPERASIONAL_RS,99390187.84
2022-08,PANDEMI_COVID,17966524.395999998
2022-08,PERAWATAN_LUKA,134836426.803
2022-08,RESPIRATORIUM,156243014.977
2022-08,SPUIT_INJEKSI,181214879.59600002
2022-08,STERILISASI_CSSD,5692739.188999999
2022-08,UROLOGI,32879967.748
2022-09,APD_HIGIENE,144299048.286
2022-09,BEDAH_OK,303459514.358
2022-09,CAPITAL_EQUIP,16511400.0
2022-09,DBD,208947449.549
2022-09,DIAGNOSTIK,69582981.667
2022-09,FARMASI,83189436.937
2022-09,IMUNISASI,18307739.1
2022-09,LABORATORIUM,3492000.0
2022-09,NEONATAL,47975610.0
2022-09,OPERASIONAL_RS,68743172.57699999
2022-09,PANDEMI_COVID,28385159.457
2022-09,PERAWATAN_LUKA,95851796.801
2022-09,RESPIRATORIUM,248827139.827
2022-09,SPUIT_INJEKSI,183825294.598
2022-09,STERILISASI_CSSD,20767906.541
2022-09,UROLOGI,47831611.467
2022-10,APD_HIGIENE,188489659.10799998
2022-10,BEDAH_OK,417620991.445
2022-10,DBD,334615028.448
2022-10,DIAGNOSTIK,47273934.515
2022-10,FARMASI,13819600.0
2022-10,IMUNISASI,16906881.784
2022-10,LABORATORIUM,14392700.0
2022-10,OPERASIONAL_RS,90989961.704
2022-10,PANDEMI_COVID,15449826.292000001
2022-10,PERAWATAN_LUKA,225142718.244
2022-10,RESPIRATORIUM,149845459.0
2022-10,SPUIT_INJEKSI,120514583.721
2022-10,STERILISASI_CSSD,18502916.0
2022-10,UROLOGI,20416282.0
2022-11,APD_HIGIENE,336603453.11
2022-11,BEDAH_OK,357559783.03499997
2022-11,CAPITAL_EQUIP,2610000.0
2022-11,DBD,384946987.911
2022-11,DIAGNOSTIK,58215485.946
2022-11,FARMASI,122387020.0
2022-11,IMUNISASI,20800281.586
2022-11,LABORATORIUM,7372500.0
2022-11,NEONATAL,22578400.0
2022-11,OBGYN,12906400.0
2022-11,OPERASIONAL_RS,137673973.87
2022-11,PANDEMI_COVID,25351470.271
2022-11,PERAWATAN_LUKA,144936878.19799998
2022-11,RESPIRATORIUM,227351694.287
2022-11,SPUIT_INJEKSI,404815160.531
2022-11,STERILISASI_CSSD,39684727.026999995
2022-11,UROLOGI,46976675.855
2022-12,APD_HIGIENE,100883805.856
2022-12,BEDAH_OK,208162573.756
2022-12,CAPITAL_EQUIP,153135477.5
2022-12,DBD,117405413.991
2022-12,DIAGNOSTIK,66369901.261
2022-12,FARMASI,35369700.0
2022-12,IMUNISASI,52055281.08
2022-12,LABORATORIUM,1355000.0
2022-12,NEONATAL,7374850.0
2022-12,OPERASIONAL_RS,96560766.286
2022-12,PANDEMI_COVID,6557500.0
2022-12,PERAWATAN_LUKA,65511284.776
2022-12,RESPIRATORIUM,123935759.708
2022-12,SPUIT_INJEKSI,65204443.287999995
2022-12,STERILISASI_CSSD,80833080.0
2022-12,UROLOGI,37913065.767
2023-01,APD_HIGIENE,94560544.072
2023-01,BEDAH_OK,317580816.292
2023-01,CAPITAL_EQUIP,13000000.0
2023-01,DBD,192418820.725
2023-01,DIAGNOSTIK,31143400.901
2023-01,FARMASI,48024351.0
2023-01,IMUNISASI,4517365.757
2023-01,LABORATORIUM,12505052.0
2023-01,NEONATAL,1350000.0
2023-01,OBGYN,7829366.486
2023-01,OPERASIONAL_RS,52535412.032
2023-01,PANDEMI_COVID,11144185.586
2023-01,PERAWATAN_LUKA,28047423.784
2023-01,RESPIRATORIUM,201760011.807
2023-01,SPUIT_INJEKSI,126370179.302
2023-01,STERILISASI_CSSD,32063106.514
2023-01,UROLOGI,22405188.243
2023-02,APD_HIGIENE,33692000.0
2023-02,BEDAH_OK,212000762.998
2023-02,CAPITAL_EQUIP,2755000.0
2023-02,DBD,227336506.227
2023-02,DIAGNOSTIK,22734500.0
2023-02,FARMASI,4940563.694
2023-02,IMUNISASI,5444200.0
2023-02,OPERASIONAL_RS,32055454.955
2023-02,PANDEMI_COVID,9642172.973000001
2023-02,PERAWATAN_LUKA,119039672.999
2023-02,RESPIRATORIUM,215418307.438
2023-02,SPUIT_INJEKSI,153741469.93
2023-02,STERILISASI_CSSD,7647000.0
2023-02,UROLOGI,35810740.0
2023-03,APD_HIGIENE,85072729.91
2023-03,BEDAH_OK,429948847.4
2023-03,CAPITAL_EQUIP,1800000.0
2023-03,DBD,340512243.373
2023-03,DIAGNOSTIK,54118549.55
2023-03,FARMASI,30537034.34
2023-03,IMUNISASI,24166000.0
2023-03,LABORATORIUM,7995000.0
2023-03,NEONATAL,11732000.0
2023-03,OPERASIONAL_RS,45047480.0
2023-03,PANDEMI_COVID,8942557.658
2023-03,PERAWATAN_LUKA,58138776.897
2023-03,RESPIRATORIUM,259286954.413
2023-03,SPUIT_INJEKSI,208286378.697
2023-03,STERILISASI_CSSD,16350686.0
2023-03,UROLOGI,52032556.937
2023-04,APD_HIGIENE,149443877.122
2023-04,BEDAH_OK,267606800.24400002
2023-04,DBD,248982419.033
2023-04,DIAGNOSTIK,101699945.0
2023-04,FARMASI,2220500.0
2023-04,IMUNISASI,1821756.757
2023-04,NEONATAL,1234100.0
2023-04,OBGYN,9722000.0
2023-04,OPERASIONAL_RS,18340640.541
2023-04,PANDEMI_COVID,9680180.18
2023-04,PERAWATAN_LUKA,47270165.046000004
2023-04,RESPIRATORIUM,128200908.082
2023-04,SPUIT_INJEKSI,122186389.80399999
2023-04,STERILISASI_CSSD,11121657.627
2023-04,UROLOGI,16725868.126
2023-05,APD_HIGIENE,100229425.0
2023-05,BEDAH_OK,156212265.789
2023-05,CAPITAL_EQUIP,42748700.0
2023-05,DBD,270784550.27
2023-05,DIAGNOSTIK,117876993.693
2023-05,FARMASI,33282671.622
2023-05,LABORATORIUM,12239460.901
2023-05,OBGYN,13560000.0
2023-05,OPERASIONAL_RS,80983829.0
2023-05,PANDEMI_COVID,19710100.0
2023-05,PERAWATAN_LUKA,76923351.145
2023-05,RESPIRATORIUM,225627355.372
2023-05,SPUIT_INJEKSI,275221005.779
2023-05,STERILISASI_CSSD,28169954.775
2023-05,UROLOGI,43119672.07
2023-06,APD_HIGIENE,149389785.375
2023-06,BEDAH_OK,389361967.865
2023-06,DBD,549334624.017
2023-06,DIAGNOSTIK,44587220.0
2023-06,FARMASI,29139535.21
2023-06,IMUNISASI,5778500.0
2023-06,LABORATORIUM,4572000.0
2023-06,OBGYN,4392000.0
2023-06,OPERASIONAL_RS,87525055.0
2023-06,PANDEMI_COVID,210751932.007
2023-06,PERAWATAN_LUKA,47039582.658
2023-06,RESPIRATORIUM,162696881.299
2023-06,SPUIT_INJEKSI,261666109.78399998
