barang_nama,total,n,qty
Plastik Klip,83752684.98,6,260
Alat Pencukur,82938361.676,32,1182
Nylon10/0,82281701.746,16,204
Tongue Spatel ,82245750.0,13,51
Hearing Aid Wireless,81608718.0,9,41
Intubation Stylet,80786699.677,18,87
Antiseptic Hand Wash  Chlorhexidine,78346800.0,7,251
Handsaplast,78141742.246,5,101
Alkohol Swab 2 Ply,77178281.0,5,300
Paper,76719828.0,7,12
Wing Infusion,76042824.32,5,270
Arm Sling,75616625.0,8,78
Face Mask ,73401963.65,8,404
Polypropylane 4/0,71565025.505,7,108
Termometer,71056160.0,12,56
Povidone ,70545605.164,13,240
Ring Pesarium,70262736.0,9,19
Neonatal Nasal Ventilation Double Tube 12Fr,69952000.0,5,57
Nanopass,69033591.96,6,42
Nihon Kohden ECG PA-9100Z,68192540.06,8,54
Print Paper For Plasma,67399870.0,5,44
Enzymatic,66779180.84,5,8
Duckbil Medical Mask ,65799600.0,8,85
Termometer Ruangan,65711602.0,8,81
Saliva Ejector ,65517775.0,5,16
Film SHR-U ,65388410.0,8,16
Indicator Tape For Steam,65084527.63,18,56
Kertas Puyer,64899296.4,16,172
Bistos,64874550.523,28,170
2 Way Foley Catherer ,64706828.086,11,140
Cervical Collar,64070536.0,7,25
IV Catheter Injection Port With Wing ,63327642.441,14,3000
Cesarean Set,63324850.0,14,91
Assucryl 3/0 ,62518481.4,7,276
Uterine Aspiration Curette ,62184155.577,13,67
Paket Sectio,61130801.555,19,441
Gunting ,60710780.0,6,23
Taunge Spatel,60652693.64,10,34
Objek Glass,60049617.47,9,59
HCG-Strip,59423703.664000005,15,51
Nitril Powder Free Exam Glove (AMG) S,58756590.91,7,145
assucryl 3/0 ,57145315.84,7,300
Hemodialysisn Catheter Double Lumen,56875296.47,5,32
Polypropylane,56477676.0,9,168
Soft Cervical Collar,56418160.0,16,49
Kapas ,56233923.730000004,11,60
Verban,54069095.0,11,4123
Fostryl 3-0 USP 76cm,52237386.489,5,120
Fostryl 1 USP,52237386.489,5,372
IV Cannula 14,52172396.43,5,748
Paper Zoll,52168989.738,10,90
Nierbeken,51781042.997,8,22
Klip JCI Fall Risk ,51435900.0,8,8565
Ureteral Stent  Set,49408632.641,10,74
Bionector,48080553.2,10,329
Botol  Plastik ,48010800.0,5,1050
Kapas,46234950.0,8,410
Baymed Plus,45131864.893999994,5,107
"Doubel Lumen Bronchal Tube Right-Sided, Slllc, Set",45113976.0,6,13
Silk 5/0,43877499.68,6,240
Kom,42954463.65,6,36
Trocar Catheter,42337390.09,17,75
Rectal Tube ,41924372.0,9,68
Intrasite Gel Applipak,41743000.0,8,160
Rivanol,40827397.6,5,49
Object Glass,40600150.0,7,26
Universal ,40321535.09,13,58
Sendok Obat,40290532.0,9,10000
Condom Catheter,40233550.0,5,50
Corometrics AAO,39512643.244,11,47
Adjustable Soft Cervical Collar,39434798.98,5,36
Filaprop Mesh ( 6x11),38831787.4,6,52
Strip Uji Asam Urat,38712760.0,6,34
Fixer,38267527.28,6,7
Ureteral Stent Set,37382395.32,5,40
Handscoon non steril M,36989149.89,5,188
Eeg Gel Ten20 ,36701520.0,12,33
Suction Conecting tube,36155600.0,6,250
Monitoring Indikator strip,33794670.6,11,15
Leukoplast 1625H,33550466.0,12,70
Strip Cholesterol Test,33125360.0,6,61
ID Band Pink Adult,32460201.196,10,86
Pouches Sterilization,31966631.08,5,7
Vacuum blood collection tube,30861618.0,6,32
MESS,30422634.0,6,13
Parafilm,29215600.0,9,109
Viruzyme,28864694.0,8,14
Wash Gloves 4s ,28863631.0,5,453
Single Blood Bag-,27911385.0,5,342
Calplus Intro Pack,27803835.0,6,37
2 Way Folley Catherer,26534381.982,5,200
ID Band Yellow Child,25689693.6,5,9
Tas Emergency,25336489.276,6,8
Hand Sanitizer Alcohol Based,25299520.0,8,293
Urine Bags,24496180.631,5,399
Breathing Circuit 1.8 Corrugated,24329323.0,8,60
 Endotracheal Tube,24220083.936,8,31
Regulator Oxygen ,23985800.0,5,39
Urine Bag 2L,20151660.0,5,1000
H2O2 3%,19969091.378,6,127
Surgical Hat,19509402.338,7,50
Female Catheter,19348120.0,10,260
Mitela,19085582.0,5,53
ID Band White,18751788.0,6,14
My Jelly,18549110.008,5,52
Steam Sterilization Chemical,16722470.0,7,11
Holder,15703100.0,6,266
Oxygen Regulator,14485454.546,5,50
Cytology Brushes,13830000.0,7,10
Tracheostomy Cuffed ,13325281.649,8,15
Tongue Spatel,11720527.177000001,8,13
Tracheostomy Cuffed,10491858.0,8,14
Electrosurgical Pad Cable 2Pin Socket,10216000.0,6,23
Cable Monopolar,9865054.053,6,62
Vidio Printer Paper ,8575000.0,5,29
Urine Collector,7060715.0,5,130
Schiller,6628000.0,8,33
Breathing Circuits,5865000.0,5,6
